timestamp,type,close,average20,average40,shares,amount
Fri Feb 18 2022 14:15,SELL,3620,3621.6949999999997,3604.1575,0,220.89999999999827
Fri Feb 18 2022 14:00,BUYZERO,3628.7,3621.5875,3605.5562500000005,1,-3407.8000000000015
Fri Feb 18 2022 12:45,SELL,3613,3621.9600000000005,3612.18125,0,205.19999999999845
Fri Feb 18 2022 11:30,BUYZERO,3621.55,3621.1700000000005,3617.78625,1,-3416.3500000000017
Fri Feb 18 2022 11:15,SELL,3614.05,3621.0299999999997,3618.83875,0,197.69999999999845
Fri Feb 18 2022 10:15,SELLZERO,3594.6,3617.9075000000003,3618.89375,-1,3792.2999999999984
Thu Feb 17 2022 14:15,BUY,3612.85,3605.0950000000003,3613.6699999999996,0,179.44999999999845
Thu Feb 17 2022 11:30,BUYZERO,3637.1,3620.6699999999996,3619.2887500000006,1,-3457.6500000000015
Thu Feb 17 2022 09:45,SELL,3629,3637.0274999999992,3621.9524999999994,0,171.34999999999854
Wed Feb 16 2022 12:45,SELLZERO,3590,3616.4775,3618.5737499999996,-1,3761.3499999999985
Wed Feb 16 2022 10:30,BUY,3605,3593.6975000000007,3616.6437499999993,0,156.34999999999854
Tue Feb 15 2022 15:15,SELLZERO,3589.2,3598.0025,3612.8262500000005,-1,3745.5499999999984
Tue Feb 15 2022 13:00,BUY,3596.55,3594.1024999999995,3599.3649999999993,0,148.99999999999818
Tue Feb 15 2022 12:30,SELLZERO,3588.5,3594.425,3597.0575000000003,-1,3737.499999999998
Mon Feb 14 2022 13:00,BUY,3514.75,3510.8149999999996,3552.1687499999994,0,222.74999999999818
Mon Feb 14 2022 12:45,SELLZERO,3502.9,3506.9375,3549.828749999999,-1,3725.6499999999983
Mon Feb 14 2022 12:15,BUY,3533,3503.4375,3545.00875,0,192.64999999999827
Mon Feb 14 2022 11:00,SELLZERO,3497,3504.1175000000003,3533.8374999999987,-1,3689.6499999999983
Mon Feb 14 2022 10:30,BUY,3521.95,3506.5375,3529.9812499999994,0,167.69999999999845
Mon Feb 14 2022 10:00,SELLZERO,3504.2,3508.9075000000003,3526.1662500000007,-1,3671.8999999999983
Fri Feb 11 2022 15:15,BUY,3566.65,3513.7899999999995,3519.816249999999,0,105.24999999999818
Fri Feb 11 2022 14:45,BUYZERO,3562.7,3519.1,3518.83125,1,-3457.4500000000016
Fri Feb 11 2022 11:45,SELL,3538.2,3543.4075000000003,3524.9725,0,80.74999999999818
Fri Feb 11 2022 11:30,BUYZERO,3544.75,3544.6600000000008,3526.3925000000004,1,-3464.000000000002
Fri Feb 11 2022 11:00,SELL,3543,3548.975,3529.2737499999994,0,78.99999999999818
Thu Feb 10 2022 15:15,BUYZERO,3569.35,3543.7700000000004,3535.1487499999994,1,-3490.3500000000017
Thu Feb 10 2022 11:00,SELL,3560.5,3562.2799999999997,3554.4075000000003,0,70.14999999999827
Thu Feb 10 2022 10:30,BUYZERO,3571.8,3566.4025,3554.8362500000003,1,-3501.650000000002
Thu Feb 10 2022 10:15,SELL,3560.75,3565.9725,3554.8712499999992,0,59.09999999999809
Thu Feb 10 2022 10:00,BUYZERO,3575,3566.2225,3555.3049999999994,1,-3515.900000000002
Thu Feb 10 2022 09:45,SELL,3560,3566.2225,3555.0549999999994,0,44.09999999999809
Wed Feb 09 2022 12:45,SELLZERO,3545.8,3558.3700000000003,3558.6062499999994,-1,3589.8999999999983
Tue Feb 08 2022 10:15,BUY,3470.8,3465.000000000001,3500.8425,0,119.09999999999809
Mon Feb 07 2022 12:30,BUYZERO,3517,3479.88,3477.6037500000007,1,-3397.900000000002
Mon Feb 07 2022 09:45,SELL,3488.8,3495.7875,3482.9499999999985,0,90.89999999999827
Mon Feb 07 2022 09:30,BUYZERO,3510,3497.71,3484.1049999999987,1,-3419.1000000000017
Fri Feb 04 2022 11:15,SELL,3560,3563.5150000000003,3529.2287500000007,0,140.89999999999827
Fri Feb 04 2022 11:00,BUYZERO,3577.75,3567.9625,3531.875,1,-3436.8500000000017
Thu Feb 03 2022 11:30,SELL,3622,3623.0450000000005,3598.9637500000003,0,185.14999999999827
Thu Feb 03 2022 11:15,BUYZERO,3629,3624.9100000000008,3600.568750000001,1,-3443.8500000000017
Thu Feb 03 2022 10:45,SELL,3620.05,3628.06,3603.63,0,176.19999999999845
